model,n,false_negative,false_positive,true_negative,true_positive,accuracy,balanced_accuracy,bookmaker_informedness,critical_success_index,delta_p,diagnostic_odds_ratio,fall_out,false_discovery_rate,false_negative_rate,false_omission_rate,false_positive_rate,f1_score,fowlkes_mallows_index,hit_rate,informedness,jaccard_index,matthews_correlation_coefficient,markedness,miss_rate,negative_likelihood_ratio,negative_predictive_value,positive_likelihood_ratio,positive_predictive_value,precision,prevalence,prevalence_threshold,probability_of_detection,probability_of_false_alarm,recall,selectivity,sensitivity,specificity,threat_score,true_negative_rate,true_positive_rate,mae,mse,rmse,r2
decision_tree_classifier--ccp_alpha_0.0--class_weight_None--criterion_gini--max_depth_None--max_features_None--max_leaf_nodes_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--random_state_0--splitter_best,198.6 ± 0.548,20.44 ± 0.59,20.44 ± 0.59,138.44 ± 0.518,19.28 ± 0.54,79.4% ± 0.6%,0.617 ± 0.039,0.234 ± 0.077,0.249 ± 0.043,0.229 ± 0.07,18.2 ± 17.335,0.616 ± 0.067,0.616 ± 0.067,0.612 ± 0.073,0.154 ± 0.006,0.154 ± 0.006,0.381 ± 0.063,0.383 ± 0.065,0.388 ± 0.073,0.234 ± 0.077,0.249 ± 0.043,0.229 ± 0.069,0.229 ± 0.07,0.612 ± 0.073,0.719 ± 0.079,0.846 ± 0.006,10.111 ± 8.664,0.384 ± 0.067,0.384 ± 0.067,0.2 ± 0.0,0.395 ± 0.102,0.388 ± 0.073,0.154 ± 0.006,0.388 ± 0.073,0.846 ± 0.006,0.388 ± 0.073,0.846 ± 0.006,0.249 ± 0.043,0.846 ± 0.006,0.388 ± 0.073,1.408 ± 0.047,4.409 ± 0.184,2.099 ± 0.044,-0.492 ± 0.063
decision_tree_regressor--ccp_alpha_0.0--criterion_squared_error--max_depth_None--max_features_None--max_leaf_nodes_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--random_state_0--splitter_best,198.6 ± 0.548,19.8 ± 0.812,19.8 ± 0.812,139.08 ± 0.729,19.92 ± 0.769,80.10000000000001% ± 0.8%,0.59 ± 0.033,0.179 ± 0.066,0.222 ± 0.046,0.193 ± 0.095,8.642 ± 12.469,0.659 ± 0.092,0.659 ± 0.092,0.672 ± 0.063,0.148 ± 0.003,0.149 ± 0.003,0.332 ± 0.073,0.333 ± 0.075,0.328 ± 0.063,0.179 ± 0.066,0.222 ± 0.046,0.185 ± 0.078,0.193 ± 0.095,0.672 ± 0.063,0.77 ± 0.069,0.852 ± 0.003,5.888 ± 8.284,0.341 ± 0.092,0.341 ± 0.092,0.2 ± 0.0,0.496 ± 0.132,0.328 ± 0.063,0.149 ± 0.003,0.328 ± 0.063,0.851 ± 0.003,0.328 ± 0.063,0.851 ± 0.003,0.222 ± 0.046,0.851 ± 0.003,0.328 ± 0.063,1.32 ± 0.033,4.047 ± 0.105,2.012 ± 0.026,-0.37 ± 0.033
random_forest_classifier--bootstrap_True--ccp_alpha_0.0--class_weight_None--criterion_gini--max_depth_None--max_features_sqrt--max_leaf_nodes_None--max_samples_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--n_estimators_100--n_jobs_None--oob_score_False--random_state_0--verbose_0--warm_start_False,198.6 ± 0.548,17.12 ± 1.171,17.12 ± 1.171,141.76 ± 1.212,22.6 ± 1.166,82.8% ± 1.2%,0.677 ± 0.039,0.355 ± 0.078,0.326 ± 0.045,0.337 ± 0.046,24.073 ± 13.733,0.535 ± 0.045,0.535 ± 0.045,0.508 ± 0.074,0.129 ± 0.01,0.137 ± 0.01,0.467 ± 0.054,0.473 ± 0.055,0.492 ± 0.074,0.355 ± 0.078,0.326 ± 0.045,0.343 ± 0.058,0.337 ± 0.046,0.508 ± 0.074,0.576 ± 0.078,0.871 ± 0.01,16.15 ± 7.646,0.465 ± 0.045,0.465 ± 0.045,0.2 ± 0.0,0.335 ± 0.073,0.492 ± 0.074,0.137 ± 0.01,0.492 ± 0.074,0.863 ± 0.01,0.492 ± 0.074,0.863 ± 0.01,0.326 ± 0.045,0.863 ± 0.01,0.492 ± 0.074,1.187 ± 0.109,3.77 ± 0.431,1.939 ± 0.11,-0.276 ± 0.144
random_forest_classifier--bootstrap_False--ccp_alpha_0.0--class_weight_None--criterion_gini--max_depth_None--max_features_sqrt--max_leaf_nodes_None--max_samples_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--n_estimators_100--n_jobs_None--oob_score_False--random_state_0--verbose_0--warm_start_False,198.6 ± 0.548,18.16 ± 1.322,18.16 ± 1.322,140.72 ± 1.221,21.56 ± 1.284,81.69999999999999% ± 1.3%,0.655 ± 0.047,0.31 ± 0.093,0.295 ± 0.044,0.301 ± 0.057,18.185 ± 12.578,0.561 ± 0.056,0.561 ± 0.056,0.547 ± 0.086,0.138 ± 0.011,0.143 ± 0.01,0.435 ± 0.057,0.44 ± 0.061,0.453 ± 0.086,0.31 ± 0.093,0.295 ± 0.044,0.302 ± 0.065,0.301 ± 0.057,0.547 ± 0.086,0.629 ± 0.094,0.862 ± 0.011,12.782 ± 7.385,0.439 ± 0.056,0.439 ± 0.056,0.2 ± 0.0,0.343 ± 0.077,0.453 ± 0.086,0.143 ± 0.01,0.453 ± 0.086,0.857 ± 0.01,0.453 ± 0.086,0.857 ± 0.01,0.295 ± 0.044,0.857 ± 0.01,0.453 ± 0.086,1.258 ± 0.117,3.975 ± 0.444,1.991 ± 0.111,-0.345 ± 0.149
random_forest_classifier--bootstrap_True--ccp_alpha_0.0--class_weight_None--criterion_gini--max_depth_None--max_features_sqrt--max_leaf_nodes_None--max_samples_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--n_estimators_300--n_jobs_None--oob_score_False--random_state_0--verbose_0--warm_start_False,198.6 ± 0.548,17.48 ± 1.119,17.48 ± 1.119,141.4 ± 1.068,22.24 ± 1.09,82.39999999999999% ± 1.0999999999999999%,0.675 ± 0.034,0.351 ± 0.068,0.328 ± 0.034,0.348 ± 0.042,40.869 ± 22.276,0.52 ± 0.037,0.52 ± 0.037,0.509 ± 0.062,0.132 ± 0.009,0.14 ± 0.009,0.474 ± 0.039,0.48 ± 0.04,0.491 ± 0.062,0.351 ± 0.068,0.328 ± 0.034,0.347 ± 0.047,0.348 ± 0.042,0.509 ± 0.062,0.582 ± 0.069,0.868 ± 0.009,17.209 ± 4.972,0.48 ± 0.037,0.48 ± 0.037,0.2 ± 0.0,0.303 ± 0.016,0.491 ± 0.062,0.14 ± 0.009,0.491 ± 0.062,0.86 ± 0.009,0.491 ± 0.062,0.86 ± 0.009,0.328 ± 0.034,0.86 ± 0.009,0.491 ± 0.062,1.221 ± 0.103,3.879 ± 0.408,1.967 ± 0.104,-0.313 ± 0.136
random_forest_classifier--bootstrap_False--ccp_alpha_0.0--class_weight_None--criterion_gini--max_depth_None--max_features_sqrt--max_leaf_nodes_None--max_samples_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--n_estimators_300--n_jobs_None--oob_score_False--random_state_0--verbose_0--warm_start_False,198.6 ± 0.548,18.0 ± 1.086,18.0 ± 1.086,140.88 ± 1.064,21.72 ± 1.064,81.89999999999999% ± 1.0999999999999999%,0.646 ± 0.033,0.292 ± 0.067,0.291 ± 0.038,0.304 ± 0.062,26.593 ± 21.418,0.559 ± 0.067,0.559 ± 0.067,0.565 ± 0.063,0.137 ± 0.011,0.143 ± 0.01,0.429 ± 0.055,0.433 ± 0.056,0.435 ± 0.063,0.292 ± 0.067,0.291 ± 0.038,0.296 ± 0.055,0.304 ± 0.062,0.565 ± 0.063,0.645 ± 0.065,0.863 ± 0.011,14.28 ± 11.36,0.441 ± 0.067,0.441 ± 0.067,0.2 ± 0.0,0.344 ± 0.08,0.435 ± 0.063,0.143 ± 0.01,0.435 ± 0.063,0.857 ± 0.01,0.435 ± 0.063,0.857 ± 0.01,0.291 ± 0.038,0.857 ± 0.01,0.435 ± 0.063,1.248 ± 0.115,3.957 ± 0.465,1.986 ± 0.116,-0.339 ± 0.156
random_forest_regressor--bootstrap_True--ccp_alpha_0.0--criterion_squared_error--max_depth_None--max_features_1.0--max_leaf_nodes_None--max_samples_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--n_estimators_100--n_jobs_None--oob_score_False--random_state_0--verbose_0--warm_start_False,198.6 ± 0.548,28.24 ± 0.59,28.24 ± 0.59,130.64 ± 0.654,11.48 ± 0.576,71.6% ± 0.6%,0.55 ± 0.028,0.1 ± 0.057,0.143 ± 0.008,0.235 ± 0.018,5.699 ± 4.213,0.594 ± 0.017,0.594 ± 0.017,0.738 ± 0.055,0.172 ± 0.003,0.162 ± 0.003,0.234 ± 0.013,0.277 ± 0.02,0.262 ± 0.055,0.1 ± 0.057,0.143 ± 0.008,0.154 ± 0.025,0.235 ± 0.018,0.738 ± 0.055,0.89 ± 0.078,0.828 ± 0.003,4.323 ± 3.072,0.406 ± 0.017,0.406 ± 0.017,0.2 ± 0.0,0.47 ± 0.097,0.262 ± 0.055,0.162 ± 0.003,0.262 ± 0.055,0.838 ± 0.003,0.262 ± 0.055,0.838 ± 0.003,0.143 ± 0.008,0.838 ± 0.003,0.262 ± 0.055,1.199 ± 0.037,2.46 ± 0.166,1.568 ± 0.053,0.167 ± 0.056
random_forest_regressor--bootstrap_False--ccp_alpha_0.0--criterion_squared_error--max_depth_None--max_features_1.0--max_leaf_nodes_None--max_samples_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--n_estimators_100--n_jobs_None--oob_score_False--random_state_0--verbose_0--warm_start_False,198.6 ± 0.548,22.2 ± 1.086,22.2 ± 1.086,136.68 ± 0.807,17.52 ± 1.006,77.60000000000001% ± 1.0%,0.585 ± 0.042,0.171 ± 0.084,0.193 ± 0.024,0.15 ± 0.034,3.309 ± 2.124,0.693 ± 0.028,0.693 ± 0.028,0.676 ± 0.079,0.157 ± 0.006,0.153 ± 0.006,0.295 ± 0.037,0.304 ± 0.044,0.324 ± 0.079,0.171 ± 0.084,0.193 ± 0.024,0.155 ± 0.051,0.15 ± 0.034,0.676 ± 0.079,0.79 ± 0.094,0.843 ± 0.006,2.136 ± 1.035,0.307 ± 0.028,0.307 ± 0.028,0.2 ± 0.0,0.497 ± 0.082,0.324 ± 0.079,0.153 ± 0.006,0.324 ± 0.079,0.847 ± 0.006,0.324 ± 0.079,0.847 ± 0.006,0.193 ± 0.024,0.847 ± 0.006,0.324 ± 0.079,1.311 ± 0.051,3.77 ± 0.151,1.941 ± 0.039,-0.276 ± 0.049
random_forest_regressor--bootstrap_True--ccp_alpha_0.0--criterion_squared_error--max_depth_None--max_features_1.0--max_leaf_nodes_None--max_samples_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--n_estimators_300--n_jobs_None--oob_score_False--random_state_0--verbose_0--warm_start_False,198.6 ± 0.548,28.44 ± 0.654,28.44 ± 0.654,130.44 ± 0.865,11.28 ± 0.687,71.39999999999999% ± 0.7000000000000001%,0.546 ± 0.022,0.093 ± 0.044,0.141 ± 0.009,0.234 ± 0.013,6.708 ± 4.876,0.593 ± 0.015,0.593 ± 0.015,0.744 ± 0.045,0.173 ± 0.002,0.163 ± 0.003,0.231 ± 0.012,0.274 ± 0.012,0.256 ± 0.045,0.093 ± 0.044,0.141 ± 0.009,0.15 ± 0.014,0.234 ± 0.013,0.744 ± 0.045,0.899 ± 0.062,0.827 ± 0.002,5.069 ± 3.582,0.407 ± 0.015,0.407 ± 0.015,0.2 ± 0.0,0.47 ± 0.09,0.256 ± 0.045,0.163 ± 0.003,0.256 ± 0.045,0.837 ± 0.003,0.256 ± 0.045,0.837 ± 0.003,0.141 ± 0.009,0.837 ± 0.003,0.256 ± 0.045,1.217 ± 0.023,2.516 ± 0.118,1.586 ± 0.037,0.149 ± 0.039
random_forest_regressor--bootstrap_False--ccp_alpha_0.0--criterion_squared_error--max_depth_None--max_features_1.0--max_leaf_nodes_None--max_samples_None--min_impurity_decrease_0.0--min_samples_leaf_1--min_samples_split_2--min_weight_fraction_leaf_0.0--n_estimators_300--n_jobs_None--oob_score_False--random_state_0--verbose_0--warm_start_False,198.6 ± 0.548,22.16 ± 1.099,22.16 ± 1.099,136.72 ± 0.89,17.56 ± 1.033,77.7% ± 1.0999999999999999%,0.585 ± 0.042,0.171 ± 0.085,0.194 ± 0.024,0.15 ± 0.036,3.276 ± 1.983,0.693 ± 0.03,0.693 ± 0.03,0.676 ± 0.079,0.157 ± 0.007,0.153 ± 0.007,0.295 ± 0.037,0.304 ± 0.044,0.324 ± 0.079,0.171 ± 0.085,0.194 ± 0.024,0.155 ± 0.051,0.15 ± 0.036,0.676 ± 0.079,0.79 ± 0.095,0.843 ± 0.007,2.108 ± 0.94,0.307 ± 0.03,0.307 ± 0.03,0.2 ± 0.0,0.497 ± 0.081,0.324 ± 0.079,0.153 ± 0.007,0.324 ± 0.079,0.847 ± 0.007,0.324 ± 0.079,0.847 ± 0.007,0.194 ± 0.024,0.847 ± 0.007,0.324 ± 0.079,1.318 ± 0.057,3.8 ± 0.171,1.949 ± 0.044,-0.286 ± 0.056
